route,family,title,source_main_words,in_sitemap,html_inlinks_all_pages,discovery_class,current_state,proposed_action,priority,reason
/article/best-anime-to-watch-now/,entertainment editorial,Best Anime to Watch Now: 7 Series Worth Your Weekend | BRYME,260,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,RETAIN_IMPROVE_AND_LINK,P1,"Editorial page has substance but no HTML discovery path; link from the relevant title, article hub, and related-story modules."
/article/movies-like-deadpool-and-wolverine/,entertainment editorial,12 Movies Like Deadpool & Wolverine (And Where to Watch Them) | BRYME,258,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,RETAIN_IMPROVE_AND_LINK,P1,"Editorial page has substance but no HTML discovery path; link from the relevant title, article hub, and related-story modules."
/make-money/ai-assisted-work/,make-money hub,AI-assisted work | BRYME,29,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_THEN_MERGE_OR_BUILD,P0,Thin navigational doorway with no HTML inlinks; either merge into the main opportunities taxonomy or populate before indexing.
/make-money/content-creation/,make-money hub,Content creation | BRYME,27,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_THEN_MERGE_OR_BUILD,P0,Thin navigational doorway with no HTML inlinks; either merge into the main opportunities taxonomy or populate before indexing.
/make-money/income-skills/,make-money hub,Income skills | BRYME,27,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_THEN_MERGE_OR_BUILD,P0,Thin navigational doorway with no HTML inlinks; either merge into the main opportunities taxonomy or populate before indexing.
/make-money/microtasks/,make-money hub,Remote jobs | BRYME,31,False,0,NO_SITEMAP_AND_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,301_MERGE_TO_REMOTE_WORK,P0,Thin duplicate doorway: its title duplicates /make-money/remote-work/ and its copy tells users to use that page.
/make-money/platform-reviews/,make-money hub,Guides | BRYME Make Money,71,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,RETAIN_BUILD_AND_LINK,P1,"Useful guide index concept, but currently thin and undiscoverable; add summaries, verification dates, and a main-hub link."
/sports/bundesliga/matches/bayern-vs-stuttgart/,sports match page,"Bayern Munich v VfB Stuttgart — Preview, Form & Prediction | BRYME",32,True,0,SITEMAP_ONLY_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_UNTIL_DATA_AND_TEMPLATE_PASS,P0,Programmatic match page is undiscoverable in HTML and depends on the currently unreliable sports data pipeline.
/sports/bundesliga/reports/augsburg-vs-schalke/,sports match report,FC Augsburg 3-0 Schalke 04: Result & Scorers | BRYME,64,False,0,NO_SITEMAP_AND_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_ARCHIVE_OR_DELETE,P0,Generated 47–94-word match report; no indexable HTML inlink and insufficient standalone editorial value.
/sports/bundesliga/reports/dortmund-vs-hamburg/,sports match report,Borussia Dortmund 2-0 Hamburger SV: Result & Scorers | BRYME,60,False,0,NO_SITEMAP_AND_NO_HTML_INLINKS,INDEXABLE_SELF_CANONICAL,NOINDEX_ARCHIVE_OR_DELETE,P0,Generated 47–94-word match report; no indexable HTML inlink and insufficient standalone editorial value.
