source,source_type,verified_at_Africa_Lagos,active_board_evidence,nigeria_relevant_examples,direct_source_url,publishing_use,caveat
Moniepoint,Direct employer Greenhouse board,2026-09-04,"133 jobs displayed","Senior QA Engineer (Lagos); Talent Acquisition Specialist (remote Lagos); Data Science Manager (remote Lagos)",https://job-boards.greenhouse.io/moniepoint,"High-priority direct-source monitoring","Recheck each leaf page immediately before publication; board count changes continuously"
Paystack,Direct employer careers page,2026-09-04,"8 roles marked Ongoing","Senior Platform Security Engineer (Lagos/Nairobi/Cape Town); Senior IT Engineer (Lagos); Senior QA Engineer (Lagos)",https://paystack.com/careers,"High-priority direct-source monitoring","Use the leaf application page, not a third-party copy"
M-KOPA,Direct employer Ashby board,2026-09-04,"11 roles in the board's Remote filter","Lead People Partner - Technology (Lagos); Senior People Partner - Product & Functions (Lagos); Software Engineering Team Lead (Lagos among eligible cities)",https://jobs.ashbyhq.com/M-KOPA?workplaceType=Remote,"High-priority direct-source monitoring","One sampled role is labelled Remote in the board but says 1-2 Lagos office days in the detail; BRYME must report the detail-page reality"
SAND Technologies,Direct employer Greenhouse board,2026-09-04,"47 jobs displayed","Country Director Nigeria; Forward Deployed Engineer Nigeria; Healthcare Solutions Manager Nigeria; Operations Deployment Specialist Nigeria",https://job-boards.greenhouse.io/sandtechholdingslimited,"High-priority direct-source monitoring","Confirm deadline and application state on each leaf page"
Canonical,Direct employer careers page,2026-09-04,"Live application form on sampled leaf page","Distributed Systems Software Engineer Python/Go — home based Africa/Lagos and described as globally remote",https://canonical.com/careers/6768925,"Use as a verified role in an editorial roundup","Old datePosted values can coexist with a still-live evergreen role; disclose verified date instead of calling it newly posted"
LILT,Direct employer/contractor Ashby board,2026-09-04,"400 positions displayed; 4 Nigeria-remote roles in board data","Content Writer — Igbo; Yoruba; Naija; Hausa (Nigeria remote contracts)",https://jobs.ashbyhq.com/lilt-production,"Monitor for language and AI-data contract roundups","Contractor/community work is not equivalent to salaried employment; label work type and pay only when the employer states it"
Remotasks,Contributor platform Greenhouse board,2026-09-04,"4 jobs displayed","AI Training for Igbo Writers — Remote Nigeria",https://job-boards.greenhouse.io/remotasks,"Use only with explicit platform/contractor labelling","Verify worker eligibility and current project access; an open application does not guarantee tasks or earnings"
Swoop,Direct employer Ashby board,2026-09-04,"7 positions displayed","Founding Marketing Designer — Nigeria hybrid; NGN 700K-1.1M/month displayed",https://jobs.ashbyhq.com/swoopapp,"Monitor direct employer roles","The board also showed a Country Manager Eswatini role against a Nigeria location; exclude inconsistent records until manually resolved"
Scale Army,Recruiting/staffing agency Ashby board,2026-09-04,"82 remote positions displayed; board filter listed Nigeria for 72","Administrative Assistant; Customer Service Representative; marketing/design/technology contracts listing Nigeria among locations",https://jobs.ashbyhq.com/scale%20army%20careers,"Agency watchlist with manual role-level verification","At least one sampled role included Nigeria in structured location metadata while the body said LATAM only; never bulk-import this board"
Kuda 2026 SIWES listing,Excluded stale example,2026-09-04,"Official Workable leaf page says This job is not available anymore","None — do not publish as open",https://jobs.workable.com/view/axS75c2HzdADa5BUy8PVMt/2026-siwes-internship-program-in-lagos-at-kuda-technologies-ltd,"Training example for expiry checks","Recent third-party August articles still described this as open; this is why BRYME must verify direct leaf pages and remove expired jobs"
