query,page,search_engine,impressions,clicks,ctr,avg_position,date,notes
Shōgun 2024,/series/shogun/,Google,,,,,2026-08-22,Brief example: strong / #1. Fill from GSC. Do not overwrite with one incognito check.
Shōgun,/series/shogun/,Google,,,,,2026-08-22,Identification intent.
Shōgun trailer,/series/shogun/,Google,,,,,2026-08-22,Page has official FX Networks trailer.
Shōgun cast,/series/shogun/,Google,,,,,2026-08-22,Billed cast from Wikipedia infobox (retrieved 2026-08-16).
Shōgun watch,/series/shogun/,Google,,,,,2026-08-22,Brief example: ~page 13. This is the gap the content pass targets.
where to watch Shōgun,/series/shogun/,Google,,,,,2026-08-22,Viewing intent. Measure after deploy.
Shōgun 2024 watch,/series/shogun/,Google,,,,,2026-08-22,Viewing + year.
Shōgun TV series,/series/shogun/,Google,,,,,2026-08-22,Identification.
shows like Shōgun,/series/shogun/,Google,,,,,2026-08-22,Discovery. Related: Vikings The Last Kingdom.
Shōgun 2024,/series/shogun/,Bing,,,,,2026-08-22,Bing Webmaster Tools.
Shōgun watch,/series/shogun/,Bing,,,,,2026-08-22,Bing Webmaster Tools.
Shōgun 2024,/series/shogun/,Yandex,,,,,2026-08-22,Yandex Webmaster.
Spider-Man: No Way Home,/movie/spider-man-no-way-home/,Google,,,,,2026-08-22,Pilot. Fill from GSC.
Deadpool & Wolverine,/movie/deadpool-wolverine/,Google,,,,,2026-08-22,Pilot.
House of the Dragon,/series/house-of-the-dragon/,Google,,,,,2026-08-22,Pilot.
Silo,/series/silo/,Google,,,,,2026-08-22,Pilot.
Ted Lasso,/series/ted-lasso/,Google,,,,,2026-08-22,Pilot.
Game of Thrones,/series/game-of-thrones/,Google,,,,,2026-08-22,Protect if already ranking. Incremental only.
Your Name,/anime/your-name/,Google,,,,,2026-08-22,Pilot anime.
Spirited Away,/anime/spirited-away/,Google,,,,,2026-08-22,Pilot anime.
