id,priority,phase,workstream,action,evidence_or_reason,acceptance_test,effort,dependency
BRY-001,P0,Containment,Build,"Freeze destructive generators and require reviewed diffs","build-static-foundation.js has previously rewritten roughly 3000 pages and compiled HTML has source drift","Clean-checkout build is deterministic; any >100-page diff fails unless explicitly approved",M,None
BRY-002,P0,Containment,Indexing,"Temporarily noindex the 55 Series/Anime coming-soon hubs","55 indexable sitemap-submitted pages say More details coming soon and have only 25-30 source-main words","Zero indexable pages contain the coming-soon placeholder strings; sitemap excludes them",S,BRY-001
BRY-003,P0,Containment,Indexing,"Noindex/archive or delete all 88 generated match reports pending an editorial standard","Reports have 47-94 source-main words; all 88 are omitted from the sitemap and 43 have no HTML inlinks","No report is indexable unless it passes the report quality gate and has at least one indexable HTML inlink",S,BRY-001
BRY-004,P0,Containment,Entertainment,"Remove branded platform channel pages from the index and primary navigation until availability is real","Netflix equals every movie; Prime equals every series; Crunchyroll equals every anime; 694/726 catalogue records have no watch links","No page implies service availability without provider/region/checked-at evidence; trademark review completed",M,BRY-001
BRY-005,P0,Containment,Routing,"301 /make-money/microtasks/ to /make-money/remote-work/ and /make-money/writing-opportunities/ to /make-money/writing/","Microtasks duplicates the Remote jobs title and tells users to open Remote jobs; both aliases remain indexable 200 pages","Aliases return one-hop 301 and canonical destinations return 200/self-canonical",S,BRY-011
BRY-006,P0,Containment,Privacy,"Stop GA4 and advertising tags until disclosures and consent controls match reality","GA4 loads on every sampled page while the policy says no analytics; Monetag can load without consent","Before choice where required: no GA/advertising request and consent defaults denied; policy lists every active processor",M,None
BRY-007,P0,Containment,Ads,"Disable the Monetag vignette for the cleanup and AdSense review period","Interruptive format adds policy/UX/consent risk and loaded on the audited desktop home after dwell","No n6wxm.com or downstream ad-network request in clean browser sessions",S,BRY-006
BRY-008,P0,Containment,UX,"Restore global desktop navigation on all title, year, genre, Series and Anime pages","CSS body:has(main.tp-page) hides both header and desk bar on 791 indexable routes","Header is keyboard- and pointer-usable at 390px and 1440px on every retained template",S,BRY-001
BRY-009,P0,Containment,UX,"Remove or implement My List and Rate; rename Watch Now to Play trailer","My List and Rate are present on 791 indexable routes with no handlers; Watch Now only starts the trailer","Every visible control has a tested outcome and accurate accessible name; no dead control remains",M,BRY-001
BRY-010,P0,Containment,Performance,"Replace title-page YouTube autoplay with a click-to-load lite embed","Synthetic title pages transferred 2.1-2.9 MB largely from auto-loaded YouTube player/video requests","No YouTube iframe/video request before intentional play; title initial transfer stays under 1 MB on mobile profile",M,BRY-001
BRY-011,P0,Containment,Deployment,"Deploy only a generated public allowlist and add baseline security headers","Production returns 200 for server/server.js, workflow YAML, package.json, README, _redirects and render.yaml; sampled HTML lacks CSP/Referrer-Policy/Permissions-Policy","Sensitive/dev/source path matrix returns 404; required public assets/pages work; tested security-header policy is present",L,BRY-001
BRY-012,P0,Containment,Robots,"Remove the redundant Googlebot/AdsBot groups and keep one correct public crawl policy","Google does not combine the dedicated Googlebot group with wildcard rules, so /server/ is allowed","Google robots tester resolves intended rules; source files are still absent regardless of robots",S,BRY-011
BRY-013,P0,Containment,Sports,"Make the results workflow fail loudly and successfully merge one controlled update","26 agent/results branches accumulated; missing results-agent label causes PR creation to fail and || true hides it","A test run opens, checks and merges one PR; failure produces a red workflow and alert; branch is deleted",M,None
BRY-014,P0,Containment,Sports,"Correct goal difference and add invariant validation","All 132 stored rows have GD=0; 83 contradict GF-GA","Build fails when GD != GF-GA; all current rows pass after source refresh",S,BRY-013
BRY-015,P0,Containment,Sports,"Pause index eligibility for JS-only sports detail pages until data is current and server-rendered","319/353 indexable sports pages have under 100 source-main words and production data lags unmerged branches","Retained pages expose complete useful data in initial HTML and show source/updated-at; stale build blocks deploy",L,BRY-013
BRY-016,P0,Containment,Sitemaps,"Rebuild normal sitemap, News sitemap and RSS from eligible current records and real timestamps","93 self-canonical indexable routes are absent; all 1284 lastmod values equal 2026-09-02; all 20 News URLs are older than two days; RSS mixes authored and generated reports","Sitemap has only 200/self-canonical/indexable URLs; lastmod changes only on significant change; News contains <=2-day articles; RSS contains maintained publication entries",M,BRY-002|BRY-003
BRY-017,P1,Foundation,Domain,"Acquire a custom domain and plan a measured canonical migration","onrender.com is not proven to block AdSense, but a branded registrable domain improves ownership, trust and migration control","DNS/TLS valid; all internal URLs/schema/sitemaps use chosen host; old host has migration handling and monitoring",M,BRY-011
BRY-018,P0,Containment,Routing,"Enforce one URL form and activate all 302 repository-defined 301 rules","Static production ignores _redirects; sampled slash/no-slash variants both return 200 and aliases return 200","All aliases and slash variants resolve in one hop to one canonical 200 URL; redirect regression suite passes",L,BRY-011
BRY-019,P1,Foundation,Architecture,"Establish one structured content source and one idempotent renderer","Multiple patch scripts edit generated HTML directly and tests are out of sync","Clean checkout plus build reproduces committed output; templates and data—not compiled HTML—are edited",L,BRY-001
BRY-020,P1,Foundation,Indexing,"Add an explicit indexEligible publishing gate","Current indexability is inconsistent across empty year/topic pages and generated content","Only records that pass content, source, date, image, schema and inlink checks enter sitemap/index",M,BRY-019
BRY-021,P1,Foundation,Entertainment,"Triage 736 title detail pages into retain/improve/noindex/delete tiers","Descriptions have a 19-word median; 599 lack a score; 694 lack facts and watch links","Each indexable title has named reviewer/editor, original value, verified facts/watch data, lawful imagery, accurate schema and an inlink",XL,BRY-019|BRY-020
BRY-022,P1,Foundation,Entertainment,"Remove false Match/HD semantics and document the editorial rating rubric","90% Match is a score multiplied by ten and HD is shown although BRYME does not host the film","Badges say exactly what is measured; every score links to rubric and named reviewer; no unsupported quality badge",M,BRY-021
BRY-023,P1,Foundation,Structured data,"Rebuild VideoObject data from actual YouTube metadata or remove it","717 VideoObjects share uploadDate 2024-01-01 and generic copy; 611 Movie/TVSeries sameAs values point to trailers","Markup mirrors visible facts; actual video name/date/uploader used; no placeholder date; sameAs identifies the title entity",L,BRY-019|BRY-021
BRY-024,P1,Foundation,Structured data,"Use Article markup only for actual articles and complete authorship/date data","143 affected pages lack schema authors; 155 lack datePublished; partial Article nodes appear on title pages","Every root Article has visible matching author/date; unnecessary partial nested Article objects are removed",M,BRY-019
BRY-025,P1,Foundation,Images,"Create an image rights/provenance ledger and responsive local image pipeline","10325/11026 indexable-page images are YouTube-hosted; 691 pages use only YouTube imagery","Every production image has source/license/credit, local responsive derivatives, dimensions and fallback",XL,BRY-019
BRY-026,P1,Foundation,Make Money,"Add bylines, published/verified dates, primary sources and expiry/recheck state","55 of 62 indexable Make Money routes carrying Article markup lack author and datePublished; claims affect users' income decisions","Every retained opportunity shows author/editor, verified-at, direct source, status and next review date",L,BRY-019
BRY-027,P1,Foundation,Make Money,"Repair external opportunity links and run scheduled checks","121 unique links: 109 reachable, 5 protected, 1 confirmed 404 and 6 unresolved in audit","Confirmed 404 fixed; unresolved links manually reviewed; scheduled checker creates review tickets without treating 403 as dead",M,BRY-026
BRY-028,P1,Foundation,Tech,"Consolidate or noindex 17 sub-100-word topic hubs","17/36 indexable Tech pages are thin hubs; eight have no HTML inlinks","Each indexed hub has a distinct purpose, useful intro and enough quality children; obsolete hubs 301 to nearest parent",M,BRY-020
BRY-029,P1,Foundation,Internal linking,"Eliminate unintended indexable orphans and add contextual pathways","64 self-canonical indexable pages have zero HTML inlinks; 44 also lack sitemap inclusion","Automated graph test allows zero non-home indexable orphans unless explicitly approved",M,BRY-020
BRY-030,P1,Foundation,Search,"Noindex the current search utility or rebuild it without a hidden 20K-word DOM payload","Rendered /search/ has about 32 visible main words versus 20817 DOM words and no server result page","Search data loads separately; query states are useful and controlled; no thin parameter URLs become indexable",M,BRY-019
BRY-031,P1,Foundation,Performance,"Split the 263 KB global CSS and 62 KB global script by template","Homepage Lighthouse found about 86% of transferred CSS unused; the same bundle serves every vertical","Per-template critical CSS and deferred modules meet page budgets; no duplicate legacy skin rules",L,BRY-019
BRY-032,P1,Foundation,Homepage,"Load only the active responsive hero image and optimize formats","Homepage Lighthouse LCP was 6.2s and initial transfer 1.58 MiB; multiple hero JPEGs load","Mobile synthetic LCP <=2.5s target and one appropriately sized AVIF/WebP hero loads above fold",M,BRY-031
BRY-033,P1,Foundation,Accessibility,"Fix contrast, heading order and 10-11px navigation/search text","Lighthouse flagged contrast on six sampled pages, sports heading order and search legibility","Automated accessibility checks pass WCAG 2.2 AA targets on representative templates",M,BRY-019
BRY-034,P1,Foundation,Trust,"Expand About, editorial method, corrections, sourcing and ownership pages","Current claims overstate verified trailers/opportunities and many pages lack accountable authorship","Visible owner/editor identity, contact, methodology, corrections log, review policy and accurate claims are linked sitewide",M,BRY-026
BRY-035,P1,Foundation,Measurement,"Obtain Search Console, analytics and AdSense account exports before diagnosing traffic/index loss","External site: checks are non-exhaustive and account-level coverage/manual action data was unavailable","Required exports in audit checklist received and baseline dashboard stored",S,BRY-006
BRY-036,P1,Foundation,Tests,"Replace stale tests and add route/content/deployment gates to CI","Several suites fail or require missing jsdom; green sports workflow did not mean publication","Clean CI passes route, schema, index, source, deployment, data invariant, accessibility and smoke tests",L,BRY-019
BRY-037,P2,Product,Information architecture,"Rebuild BRYME around Verified Opportunities + Practical Tech; demote other verticals until quality gates pass","A one-person four-lane portal cannot currently match specialist competitors and Google asks for clear purpose","Homepage and navigation express one audience/problem; every primary section has maintained original utility",L,BRY-021|BRY-026|BRY-028
BRY-038,P2,Product,Design,"Replace the streaming-app imitation with task-first editorial/product templates","Current UI creates expectations BRYME cannot meet: Watch Now, Match, HD, platform channels, dead list/rate controls","Usability test participants can identify site purpose and complete watch/work/tool tasks without misleading controls",XL,BRY-037
